date,avg_sentiment_score,open,close,high,low,volume,code
2015-05-05,0.0,4785.19,4596.84,4785.19,4572.98,460419626,hs300
2015-05-06,-0.06666666666666667,4626.23,4553.33,4700.91,4511.76,376073702,hs300
2015-05-07,0.2,4520.82,4470.09,4546.34,4467.46,297759203,hs300
2015-05-08,0.0,4515.55,4558.4,4559.06,4445.59,302407967,hs300
2015-05-11,0.0,4582.09,4690.53,4690.95,4535.15,373838420,hs300
2015-05-12,-0.25,4692.12,4747.42,4748.0,4660.02,377053891,hs300
2015-05-13,0.0,4746.71,4718.44,4758.0,4678.85,370730424,hs300
2015-05-14,-0.2857142857142857,4717.96,4700.78,4735.28,4670.17,337725152,hs300
2015-05-15,0.2,4690.75,4617.47,4690.75,4592.05,328431166,hs300
2015-05-18,-0.2222222222222222,4582.06,4575.14,4623.38,4565.06,269180489,hs300
2015-05-19,0.4444444444444444,4577.64,4731.22,4740.0,4577.64,314785952,hs300
2015-05-20,0.3333333333333333,4751.57,4754.92,4843.1,4745.21,363180748,hs300
2015-05-21,0.16666666666666666,4768.69,4840.98,4841.62,4746.03,305054537,hs300
2015-05-22,0.1,4895.92,4951.33,4951.99,4870.6,455846718,hs300
2015-05-25,-0.2,4949.11,5099.5,5099.84,4949.11,465736590,hs300
2015-05-26,0.2,5140.8,5198.92,5199.29,5063.15,487949359,hs300
2015-05-27,0.0,5216.17,5181.43,5226.84,5126.86,470798730,hs300
2015-05-28,-0.25,5174.1,4834.01,5213.18,4831.33,571829047,hs300
2015-05-29,-0.125,4839.53,4840.83,4924.3,4665.52,427878859,hs300
2015-06-01,0.2727272727272727,4862.76,5076.18,5079.32,4835.77,417503741,hs300
2015-06-02,0.375,5091.27,5161.87,5162.56,5047.08,412973196,hs300
2015-06-03,-0.14285714285714285,5176.6,5143.59,5186.97,5059.5,414258270,hs300
2015-06-04,0.1111111111111111,5156.01,5181.42,5194.23,4863.46,482767268,hs300
2015-06-05,0.16666666666666666,5254.9,5230.55,5288.34,5104.18,545961196,hs300
2015-06-08,-0.42857142857142855,5259.41,5353.75,5370.61,5202.6,637313237,hs300
2015-06-09,0.0,5379.47,5317.46,5380.43,5251.21,570427263,hs300
2015-06-10,0.0,5254.3,5309.11,5374.83,5209.68,442165676,hs300
2015-06-11,1.0,5305.14,5306.59,5329.29,5248.16,392338755,hs300
2015-06-12,1.0,5329.28,5335.12,5351.65,5283.09,430131386,hs300
2015-06-15,0.0,5354.01,5221.17,5362.45,5207.31,475745703,hs300
2015-06-16,0.3333333333333333,5165.02,5064.82,5204.3,5015.27,411675638,hs300
2015-06-17,0.6666666666666666,5072.31,5138.83,5158.37,4949.29,397124187,hs300
2015-06-18,0.25,5107.69,4930.55,5121.22,4926.43,364395814,hs300
2015-06-19,0.2222222222222222,4847.06,4637.05,4910.45,4634.69,358104744,hs300
2015-06-23,0.0,4641.42,4786.09,4786.96,4455.33,365087944,hs300
2015-06-24,0.2,4811.6,4880.13,4883.73,4744.31,434638723,hs300
2015-06-25,-0.5,4906.24,4706.52,4919.26,4667.22,446135982,hs300
2015-06-26,-0.6666666666666666,4573.87,4336.19,4650.19,4278.67,446639790,hs300
2015-06-29,0.25,4446.84,4191.55,4451.17,4000.93,525662482,hs300
2015-06-30,0.6,4161.07,4473.0,4475.77,4016.01,527045280,hs300
2015-07-01,0.0,4408.98,4253.02,4526.13,4235.7,431721411,hs300
2015-07-02,0.08333333333333333,4287.73,4108.0,4312.19,4000.06,457062194,hs300
2015-07-03,-0.16666666666666666,4017.2,3885.92,4164.63,3785.9,429300850,hs300
2015-07-06,1.0294117647058822,4218.27,3998.54,4218.27,3832.47,648094530,hs300
2015-07-07,-0.18181818181818182,3877.85,3928.0,3960.64,3743.62,679385007,hs300
2015-07-08,0.05263157894736842,3651.06,3663.04,3762.62,3612.25,581467097,hs300
2015-07-09,-0.05,3621.68,3897.63,3930.26,3537.83,503870610,hs300
2015-07-10,0.13333333333333333,3916.27,4106.56,4179.11,3887.55,500701802,hs300
2015-07-13,0.5833333333333334,4132.23,4211.81,4278.16,4072.43,502092186,hs300
2015-07-14,0.2222222222222222,4178.63,4112.15,4258.51,4062.5,454422009,hs300
2015-07-15,-0.125,4068.88,3966.76,4114.24,3899.51,421956367,hs300
2015-07-16,0.25,3949.64,3997.36,4067.02,3856.32,330531345,hs300
2015-07-17,0.0,4023.76,4151.5,4190.19,4000.23,331107131,hs300
2015-07-20,0.0,4157.06,4160.61,4221.69,4106.39,352673472,hs300
2015-07-21,0.1,4109.76,4166.01,4201.48,4081.7,318374945,hs300
2015-07-22,-0.26666666666666666,4148.56,4157.16,4187.43,4094.71,318945997,hs300
2015-07-23,0.3333333333333333,4158.93,4250.81,4262.06,4148.82,354471759,hs300
2015-07-24,0.5,4255.2,4176.28,4299.65,4154.62,392045373,hs300
2015-07-27,0.1111111111111111,4097.8,3818.73,4156.31,3817.17,365054511,hs300
2015-07-28,-0.8,3690.97,3811.09,3883.45,3627.42,383527216,hs300
2015-07-29,-0.18181818181818182,3839.96,3930.38,3934.0,3769.19,276972845,hs300
2015-07-30,0.25,3915.78,3815.41,3968.53,3802.88,271548665,hs300
2015-07-31,-1.0,3777.16,3816.7,3863.62,3757.99,222376767,hs300
2015-08-03,-0.125,3766.07,3829.24,3829.24,3742.58,245805030,hs300
2015-08-04,0.36363636363636365,3827.37,3948.16,3948.45,3801.03,220236556,hs300
2015-08-05,-0.4166666666666667,3937.62,3866.9,3962.28,3858.66,200484269,hs300
2015-08-06,-0.2857142857142857,3802.93,3831.85,3888.69,3793.24,147278694,hs300
2015-08-07,-0.1,3866.43,3906.95,3926.65,3857.91,183349153,hs300
2015-08-10,-0.25,3947.47,4084.36,4101.73,3932.84,306780540,hs300
2015-08-11,0.0,4083.59,4066.67,4110.13,4042.0,322034191,hs300
